module,dataset,seed,ap,complete,error,log
msbc3,truckscenes,2035,17.8727,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc3_truckscenes_seed2035_gpu1.log
msbc3,v2xradarv,2028,39.8473,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc3_v2xradarv_seed2028_gpu2.log
msbc3,v2xradarv,2034,42.0389,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc3_v2xradarv_seed2034_gpu1.log
msbc3,v2xradarv,2035,42.5441,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_msbc3_v2xradarv_seed2035_gpu1.log
pointpillars,astyx,2026,28.0107,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_astyx_seed2026_gpu0.log
pointpillars,astyx,2027,27.2845,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_astyx_seed2027_gpu0.log
pointpillars,astyx,2028,30.5009,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_astyx_seed2028_gpu0.log
pointpillars,kradar,2026,50.782,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_kradar_seed2026_gpu3.log
pointpillars,kradar,2027,48.3161,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_kradar_seed2027_gpu3.log
pointpillars,kradar,2028,47.6224,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_kradar_seed2028_gpu3.log
pointpillars,truckscenes,2026,14.307,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_truckscenes_seed2026_gpu1.log
pointpillars,truckscenes,2027,17.7127,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_truckscenes_seed2027_gpu1.log
pointpillars,truckscenes,2028,15.1291,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_pointpillars_truckscenes_seed2028_gpu1.log
